accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs
PP_002XXMX.1	B.D.E.1.2	2024-12-06	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00090183/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424709	0.9987518065957167			OZ262323.1				0	0
PP_002XXNV.1	B.D.E.1.1	2024-12-09	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15207	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00090346/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424710	0.9987518065957167			OZ262332.1				0	0
PP_002XXPT.1	B.D.E.1	2024-12-09	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00090389/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424711	0.9619629483642097			OZ262304.1				0	560
PP_002XXQR.1	B.D.E.1.7	2024-12-10	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00091055/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424712	0.9987518065957167			OZ262340.1				0	0
PP_002XXRP.1	B.D.E.1	2024-12-12	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15206	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00091073/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424713	0.9987518065957167			OZ262342.1				0	0
PP_002XXSM.1	B.D.E.1	2024-12-13	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00091151/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424714	0.9987518065957167			OZ262337.1				0	0
PP_002XXTK.1	B.D.E.1	2024-12-11	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00091222/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424715	0.9987518065957167			OZ262297.1				0	0
PP_002XXUH.1	B.D.E.1	2024-12-27	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000163/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424716	0.9987518065957167			OZ262320.1				0	0
PP_002XXVF.1	B.D.E.1.2	2024-12-23	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000188/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424717	0.9987518065957167			OZ262286.1				0	0
PP_002XXWD.1	B.D.E.1	2024-12-16	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000190/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424718	0.9987518065957167			OZ262257.1				0	0
PP_002XXXB.1	B.D.E.1	2024-12-23	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000197/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424719	0.9987518065957167			OZ262338.1				0	0
PP_002XXY9.1	B.D.E.1	2025-01-02	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000884/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424720	0.9987518065957167			OZ262296.1				0	0
PP_002XXZ7.1	B.D.E.1	2024-12-30	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15207	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00001436/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424721	0.9987518065957167			OZ262329.1				0	0
PP_002XY05.1	B.D.E.6	2025-01-06	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15201	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00003655/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424722	0.9987518065957167			OZ262317.1				0	0
PP_002XY13.1	B.D.E.1	2025-01-06	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15207	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00003658/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424723	0.9987518065957167			OZ262313.1				0	0
PP_002XY21.1	B.D.E.1	2024-10-22	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15207	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00077500/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424724	0.9987518065957167			OZ262322.1				0	0
PP_002XY3Z.1	B.D.E.1	2024-10-28	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00080452/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424725	0.965970306135856			OZ262325.1				0	499
PP_002XY4X.1	B.D.E.1	2024-11-12	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15177	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00083977/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424726	0.982985153067928			OZ262299.1				0	210
PP_002XY5V.1	B.D.E.1	2024-12-02	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00090169/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424727	0.9987518065957167			OZ262301.1				0	0
PP_002XY6T.1	B.D.E.1	2024-12-12	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00093338/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424728	0.9987518065957167			OZ262293.1				0	0
PP_002XY7R.1	B.D.E.1	2024-12-13	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00093340/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424729	0.9987518065957167			OZ262339.1				0	0
PP_002XY8P.1	B.D.E.1	2024-12-14	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15207	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00093337/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424730	0.9988831953751149			OZ262220.1				0	0
PP_002XY9M.1	B.D.E.1	2024-12-15	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00093326/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424731	0.9987518065957167			OZ262217.1				0	0
PP_002XYAK.1	B.D.E.1	2024-10-08	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15208	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00074506/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424732	0.9987518065957167			OZ262225.1				0	0
PP_002XYBH.1	B.D.E.1	2024-11-19	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00086612/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424733	0.974182104848246			OZ262172.1				0	374
PP_002XYCF.1	B.D.E.1	2024-11-23	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00086614/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424734	0.9987518065957167			OZ262187.1				0	0
PP_002XYDD.1	B.D.E.1	2024-12-06	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15206	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00090601/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424735	0.9981605570884247			OZ262256.1				0	10
PP_002XYEB.1	B.D.E.6	2024-12-12	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15201	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00094066/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424736	0.9987518065957167			OZ262275.1				0	0
PP_002XYF9.1	B.D.E.1	2024-12-16	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00095030/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424737	0.9760215477598213			OZ262204.1				0	346
PP_002XYG7.1	B.D.E.7	2024-12-16	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15206	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00091611/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424738	0.9987518065957167			OZ262203.1				0	0
PP_002XYH4.1	B.D.E.1	2025-01-08	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15207	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00004463/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424739	0.9742477992379451			OZ262146.1				0	373
PP_002XYJ2.1	B.D.E.1	2025-01-10	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00005351/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424740	0.9987518065957167			OZ262253.1				0	0
PP_002XYK0.1	B.D.E.1.1	2025-01-13	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15203	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00005790/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424741	0.9987518065957167			OZ262219.1				0	0
PP_002XYLY.1	B.D.4.1.1	2025-01-14	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	14711	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00005922/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424742	0.939626855866509			OZ262199.1				0	409
PP_002XYMW.1	B.D.E.6	2025-01-22	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15201	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00009491/2025	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424743	0.9987518065957167			OZ262207.1				0	0
PP_002XYNU.1	B.D.4.1.1	2024-12-09	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15201	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000073/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424744	0.9987518065957167			OZ262246.1				0	0
PP_002XYPS.1	B.D.E.1	2024-12-20	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000074/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424745	0.9987518065957167			OZ262333.1				0	0
PP_002XYQQ.1	B.D.E.1	2024-12-13	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000225/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424746	0.9987518065957167			OZ262224.1				0	0
PP_002XYRN.1	B.D.E.1.2	2024-12-12	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000261/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424747	0.8728156615425042			OZ262144.1				0	1917
PP_002XYSL.1	B.D.4.1.1	2024-12-10	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15201	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000264/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424748	0.9936933385888845			OZ262300.1				0	77
PP_002XYTJ.1	B.D.E.7	2024-12-30	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15206	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000394/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424749	0.9987518065957167			OZ262294.1				0	0
PP_002XYUG.1	B.D.E.1	2024-12-21	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15205	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000505/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424750	0.9987518065957167			OZ262328.1				0	0
PP_002XYVE.1	B.D.E.1	2024-12-20	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15207	2025-05-28	hRSV/B/Ireland/un-NVRL-GIRL00000507/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424751	0.9987518065957167			OZ262318.1				0	0
